,"Country,Other",TotalCases,NewCases,TotalDeaths
0,USA,"80,912,619",,"983,837 "
1,India,"42,962,658",,"515,063 "
2,Brazil,"29,033,052",,"651,988 "
3,France,"23,011,998",,"139,243 "
4,UK,"19,119,181",,"162,008 "
5,Russia,"16,861,793",,"355,537 "
6,Germany,"15,723,907",,"124,670 "
7,Turkey,"14,326,217",,"95,379 "
8,Italy,"12,990,223",,"155,782 "
9,Spain,"11,100,428",,"100,431 "
10,Argentina,"8,934,328",,"126,708 "
11,Iran,"7,084,306",,"137,747 "
12,Netherlands,"6,640,403",,"21,608 "
13,Colombia,"6,070,616",,"139,037 "
14,Poland,"5,734,041",,"112,535 "
15,Indonesia,"5,723,858",,"149,918 "
16,Mexico,"5,563,080","+8,688","319,824 "
17,Japan,"5,274,596",,"24,604 "
18,Ukraine,"4,809,624",,"105,505 "
19,S. Korea,"4,456,264","+243,612","8,957 "
20,Vietnam,"4,232,520",,"40,726 "
21,South Africa,"3,683,172",,"99,543 "
22,Israel,"3,669,119",,"10,274 "
23,Philippines,"3,666,678",,"56,879 "
24,Czechia,"3,624,937",,"38,892 "
25,Malaysia,"3,595,172",,"33,173 "
26,Belgium,"3,586,292",,"30,259 "
27,Peru,"3,524,504",,"210,995 "
28,Australia,"3,359,995","+15,336","5,414 "
29,Portugal,"3,322,134",,"21,182 "
30,Canada,"3,320,791",,"36,956  "
31,Chile,"3,168,335",,"42,955 "
32,Thailand,"3,026,695","+21,881","23,238 "
33,Switzerland,"2,877,753",,"13,300 "
34,Austria,"2,839,297",,"14,986 "
35,Romania,"2,765,169",,"63,931 "
36,Denmark,"2,717,328",,"4,830 "
37,Greece,"2,499,259",,"26,143 "
38,Sweden,"2,455,966",,"17,479 "
39,Iraq,"2,307,555",,"25,041 "
40,Bangladesh,"1,946,737",,"29,077 "
41,Serbia,"1,923,977",,"15,405 "
42,Hungary,"1,800,046",,"44,286 "
43,Jordan,"1,638,228",,"13,849 "
44,Georgia,"1,623,672",,"16,338 "
45,Pakistan,"1,513,503",,"30,258 "
46,Slovakia,"1,503,308",,"18,663 "
47,Ireland,"1,315,100",,"6,531 "
48,Norway,"1,305,006",,"1,664 "
49,Kazakhstan,"1,303,536",,"13,626 "
50,Morocco,"1,161,586",,"16,015 "
51,Bulgaria,"1,100,811",,"35,811 "
52,Lebanon,"1,077,242",,"10,142 "
53,Cuba,"1,072,474",,"8,499 "
